investor,investor_email,sebi_reg_no,aif_category,investor_city,startup_name,domain,round,amount_usd,headquarters,date
Qualified Institutional Placement (Bank of India - largest buyer),,,,,Zaggle Prepaid Ocean Services,Enterprise FinTech,Funding Round,595.0,Hyderabad,
GEF Capital Partners,,,,,EPACK Prefab,Pre-engineered Buildings,First Funding Round,20000000.0,Greater Noida,
Motilal Oswal Wealth Limited,,,,,Captain Fresh,Seafood B2B,Funding Round,100.0,Bengaluru,
Bertelsmann India Investments (BII),,,,,Univest,Retail Advisory Platform,Series A,10000000.0,Gurugram,
Rocketship.vc,,,,,Mindgrove Technologies,Semiconductor Design,Series A,8000000.0,Chennai,
Speciale Invest,,,,,Mindgrove Technologies,Semiconductor Design,Series A,8000000.0,Chennai,
Mela Ventures,,,,,Mindgrove Technologies,Semiconductor Design,Series A,8000000.0,Chennai,
Peak XV Partners,,,,,Mindgrove Technologies,Semiconductor Design,Series A,8000000.0,Chennai,
Nishchay Goel,,,,,Mindgrove Technologies,Semiconductor Design,Series A,8000000.0,Chennai,
Whiteboard Capital,,,,,Mindgrove Technologies,Semiconductor Design,Series A,8000000.0,Chennai,
Anshul Goel,,,,,Mindgrove Technologies,Semiconductor Design,Series A,8000000.0,Chennai,
Orange Orbit (as part of a $15M Series B funding round),,,,,HostBooks,Enterprise SaaS FinTech,Funding Round,5000000.0,Gurugram,
Rainmatter Foundation (Nithin Kamath),,,,,Sparkl Edventure,EdTech,Seed Round,4000000.0,Delhi,
Zomato’s Deepinder Goyal,,,,,Sparkl Edventure,EdTech,Seed Round,4000000.0,Delhi,
Unilever Ventures,,,,,Arata,D2C Haircare,Series A,4000000.0,New Delhi,
L’Oréal’s BOLD Ventures,,,,,Arata,D2C Haircare,Series A,4000000.0,New Delhi,
Skywalker Family Office,,,,,Arata,D2C Haircare,Series A,4000000.0,New Delhi,
Together Fund,,,,,Confido Health,AI-focused HealthTech,Seed Round,3000000.0,"New Jersey, US",
MedMountain Ventures,,,,,Confido Health,AI-focused HealthTech,Seed Round,3000000.0,"New Jersey, US",
Rebellion VC,,,,,Confido Health,AI-focused HealthTech,Seed Round,3000000.0,"New Jersey, US",
DeVC,,,,,Confido Health,AI-focused HealthTech,Seed Round,3000000.0,"New Jersey, US",
Operators Studio,,,,,Confido Health,AI-focused HealthTech,Seed Round,3000000.0,"New Jersey, US",
strategic healthcare operators,,,,,Confido Health,AI-focused HealthTech,Seed Round,3000000.0,"New Jersey, US",
Inflection Point Ventures,,,,,SustVest,Sustainable Investment Platform,Pre-Series A (Equity & Debt),1700000.0,Gurugram,
Antler,,,,,SustVest,Sustainable Investment Platform,Pre-Series A (Equity & Debt),1700000.0,Gurugram,
